FRANCAIS,PIN YIN HAKKA,Unnamed: 2
Alcool,jiu3,
Avoir sommeil,muk5shoi4,
Bailler,mak5zoi4,
Brosse à cheveux,so fa?,
Brosse à dents,nga2chat5,
Cauchemar,ok5mung4,
,,
Comprimé,yok4pen3,
,,
Couper les cheveux,zen3mao2,
Dentifrice,nga2gao1,
Dormir,shoi4muk5,
Douleur,tung2,
Enfler,zung3,
Éternuer,da3at5qi4,
Faire caca,o2shi3-tai4pen3,
Faire pipi,o2ngiao3-xiao3pen3,
Fièvre,fat5shao1,
Frotter,chat5,
Hématome,het5 zung3,
Laver les mains,se3shu3,
Les poux,xit5ma3,
"Mal (de tête, etc.)",teu2la2tung4,
Malade,piang4,
Masser,on4mo2,
Médicament,yok6,
Nettoyer,se3,
Pansement,chong ko tiap?,
Parfum,hiong1shui3,
Peigne,so2zai3,
Politesse,li3mao4,
Pommade,yok6gao1,
Rêve,mung4,
Ronfler,da hu lu?,
S’épiler,bang4mao2,
S’essuyer,zut6,
S'habiller,zok5sam1,
Saigner,chut5het5,
Savon,fe1 zau1-hiong1gang1,
Se coiffer,so2mao2,
Se dévêtir,bok5sam1,
Se laver,cung1liang1,
Se maquiller,fa chong?,
Se moucher,sen4pi4lung2,
Se peigner les cheveux,so tiu fat?,
Se raser,tok4 fu2?,
Se réveiller,xiang3,
Sécher les cheveux,ho4mao2,
Sentir bon,hiong1,
Sentir mauvais,qu4hen4,
Sieste,wu3gao4,
Sirop,yok6shui3,
Soigner les bobos,ji1shang?,
Toux,kem4,
Transpirer,qut5hon4,
Médecin,yi sang,
