FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Année,ngian2,年
Après midi,ha1zhu4,下昼
Aujourd'hui,gin1 ngit5,今日
Bientôt,qiu4 loi2,就来
Demain,min2 zhao1 ngit5,明朝日
Hier,cham4 bu1 ngit5,昨晡日
Jour,ngit5,日
Le futur,jiong1 loi2,将来
Le passé,yi1 qian2,以前
Longtemps,hao3 giu3,好久
Matin,zhao1 shin2 teu2,朝晨头 
Midi,zhu4 shin2 teu2,昼晨头
Mois,nget6,月
Semaine,li3 bai4,礼拜
Soir,am4 bu1 ya4,暗晡夜
,man3shin2teu2,晚晨头
Tout de suite ,jit5 ket5,即刻
,,
,,
Lundi ,li3 bai4 yit5,礼拜一
Mardi ,li3 bai4 ngi1,礼拜二
Mercredi,li3 bai4 sam1,礼拜三
Jeudi ,li3 bai4 xi4,礼拜四
Vendredi ,li3 bai4 ng3,礼拜五
Samedi ,li3 bai4 luk5,礼拜六
Dimanche,li3 bai4 ngit5,礼拜日
,,
Janvier ,zang1nget6,正月
Février,ngi1 nget6,二月
Mars,sam1 nget6,三月
Avril ,xi4 nget6,四月
Mai ,ng3 nget6,五月
Juin ,luk5 nget6,六月
Juillet ,qit5 nget6,七月
Août ,bat5 nget6,八月
Septembre,giu3 nget6,九月
Octobre,ship6 nget6,十月
Novembre ,ship6 yit5 nget6,十一月
Décembre,ship6 ngi1 nget6,十二月
En retard,qi3dao4,迟到
Trop tard,qi3go4teu2,迟过头
A l'heure,?,?
Quelle heure?,git5do1diam3,几点
Il est 1h06´,yit5diam3 luk5fun1zung1,一点五分钟
Il est 1h15',yit5diam3dap5sam1,一点 十 ？
Un quart d'heure,sam1za4su,三？
